ID,MET,category1,category2,activities
15375,4.3,strength,sports,"horse chores, feeding, watering, cleaning stalls, implied walking and lifting loads "
15380,4.5,strength,sports,"saddling, cleaning, grooming, harnessing and unharnessing horse"
15390,5.8,strength,sports,"horseback riding, trotting"
15395,7.3,strength,sports,"horseback riding, canter or gallop "
15400,3.8,strength,sports,"horseback riding,walking"
15402,9.0,strength,sports,"horseback riding, jumping "
15408,1.8,strength,sports,"horse cart, driving, standing or sitting"
15410,3.0,strength,sports,"horseshoe pitching, quoits"
15420,12.0,strength,sports,jai alai
15425,5.3,strength,sports,"martial arts, different types, slower pace, novice performers, practice"
15430,10.3,strength,sports,"martial arts, different types, moderate pace (e.g., judo, jujitsu, karate, kick boxing, tae kwan do, tai-bo, Muay Thai boxing)"
15440,4.0,strength,sports,juggling
15450,7.0,strength,sports,kickball
15460,8.0,strength,sports,lacrosse
15465,3.3,strength,sports,"lawn bowling, bocce ball, outdoor "
15470,4.0,strength,sports,"moto-cross, off-road motor sports, all-terrain vehicle, general"
15480,9.0,strength,sports,orienteering
15490,10.0,strength,sports,"paddleball, competitive"
15500,6.0,strength,sports,"paddleball, casual, general (Taylor Code 460)"
15510,8.0,strength,sports,"polo, on horseback"
15520,10.0,strength,sports,"racquetball, competitive"
15530,7.0,strength,sports,"racquetball, general (Taylor Code 470)"
15533,8.0,strength,sports,rock or mountain climbing (Taylor Code 470) (Formerly code = 17120) 
15535,7.5,strength,sports,"rock climbing, ascending rock, high difficulty"
15537,5.8,strength,sports,"rock climbing, ascending or traversing rock, low-to-moderate difficulty "
15540,5.0,strength,sports,"rock climbing, rappelling"
15542,4.0,strength,sports,"rodeo sports, general, light effort"
15544,5.5,strength,sports,"rodeo sports, general, moderate effort"
15546,7.0,strength,sports,"rodeo sports, general, vigorous effort"
15550,12.3,strength,sports,"rope jumping, fast pace, 120-160 skips/min"
15551,11.8,strength,sports,"rope jumping, moderate pace, 100-120 skips/min, general,  2 foot skip, plain bounce"
15552,8.8,strength,sports,"rope jumping, slow pace, < 100 skips/min, 2 foot skip, rhythm bounce"
15560,8.3,strength,sports,"rugby, union, team, competitive"
15562,6.3,strength,sports,"rugby, touch, non-competitive"
15570,3.0,strength,sports,shuffleboard
15580,5.0,strength,sports,"skateboarding, general, moderate effort"
15582,6.0,strength,sports,"skateboarding, competitive, vigorous effort "
15590,7.0,strength,sports,"skating, roller (Taylor Code 360)"
15591,7.5,strength,sports,"rollerblading, in-line skating, 14.4 km/h (9.0 mph), recreational pace"
15592,9.8,strength,sports,"rollerblading, in-line skating, 17.7 km/h (11.0 mph), moderate pace, exercise training"
15593,12.3,strength,sports,"rollerblading, in-line skating, 21.0 to 21.7 km/h (13.0 to 13.6 mph), fast pace, exercise training"
15594,14.0,strength,sports,"rollerblading, in-line skating, 24.0 km/h (15.0 mph), maximal effort"
15600,3.5,strength,sports,"skydiving, base jumping, bungee jumping "
15605,10.0,strength,sports,"soccer, competitive"
15610,7.0,strength,sports,"soccer, casual, general (Taylor Code 540)"
15620,5.0,strength,sports,"softball or baseball, fast or slow pitch, general (Taylor Code 440)"
15625,4.0,strength,sports,"softball, practice "
15630,4.0,strength,sports,"softball, officiating"
15640,6.0,strength,sports,"softball,pitching"
15645,3.3,strength,sports,"sports spectator, very excited, emotional, physically moving  "
15650,12.0,strength,sports,squash (Taylor Code 530)
15652,7.3,strength,sports,"squash, general "
15660,4.0,strength,sports,"table tennis, ping pong (Taylor Code 410)"
15670,3.0,strength,sports,"tai chi, qi gong, general"
15672,1.5,strength,sports,"tai chi, qi gong, sitting, light effort"
15675,7.3,strength,sports,"tennis, general"
15680,6.0,strength,sports,"tennis, doubles (Taylor Code 430)"
15685,4.5,strength,sports,"tennis, doubles"
15690,8.0,strength,sports,"tennis, singles (Taylor Code 420)"
15695,5.0,strength,sports,"tennis, hitting balls, non-game play, moderate effort "
15700,3.5,strength,sports,"trampoline, recreational"
15702,4.5,strength,sports,"trampoline, competitive"
15710,4.0,strength,sports,volleyball (Taylor Code 400)
15711,6.0,strength,sports,"volleyball, competitive, in gymnasium"
15720,3.0,strength,sports,"volleyball, non-competitive, 6 - 9 member team, general"
15725,8.0,strength,sports,"volleyball, beach, in sand"
15730,6.0,strength,sports,wrestling (one match = 5 minutes)
15731,7.0,strength,sports,"wallyball, general"
15732,4.0,strength,sports,"track and field (e.g., shot, discus, hammer throw)"
15733,6.0,strength,sports,"track and field (e.g., high jump, long jump, triple jump, javelin, pole vault)"
15734,10.0,strength,sports,"track and field (e.g., steeplechase, hurdles)"
17010,7.0,aerobic,walking,backpacking (Taylor Code 050)
17012,7.8,aerobic,walking,"backpacking, hiking or organized walking with a daypack"
17020,5.0,aerobic,walking,"carrying 15 pound load (e.g. suitcase), level ground or downstairs"
17021,2.3,aerobic,walking,"carrying 15 lb child, slow walking"
17025,8.3,aerobic,walking,"carrying load upstairs, general"
17026,5.0,aerobic,walking,"carrying 1 to 15 lb load, upstairs"
17027,6.0,aerobic,walking,"carrying 16 to 24 lb load, upstairs"
17028,8.0,aerobic,walking,"carrying 25 to 49 lb load, upstairs"
17029,10.0,aerobic,walking,"carrying 50 to 74 lb load, upstairs"
17030,12.0,aerobic,walking,"carrying > 74 lb load, upstairs"
17031,3.5,aerobic,walking,"loading /unloading a car, implied walking"
17033,6.3,aerobic,walking,"climbing hills, no load"
17035,6.5,aerobic,walking,climbing hills with 0 to 9 lb load
17040,7.3,aerobic,walking,climbing hills with 10 to 20 lb load
17050,8.3,aerobic,walking,climbing hills with 21 to 42 lb load
17060,9.0,aerobic,walking,climbing hills with 42+ lb load
17070,3.5,aerobic,walking,descending stairs
17080,6.0,aerobic,walking,"hiking, cross country (Taylor Code 040)"
17082,5.3,aerobic,walking,hiking or walking at a normal pace through fields and hillsides 
17085,2.5,aerobic,walking,"bird watching, slow walk"
17088,4.5,aerobic,walking,"marching, moderate speed, military, no pack"
17090,8.0,aerobic,walking,"marching rapidly, military, no pack"
17100,4.0,aerobic,walking,"pushing or pulling stroller with child or walking with children, 2.5 to 3.1 mph"
17105,3.8,aerobic,walking,"pushing a wheelchair, non-occupational "
17110,6.5,aerobic,walking,race walking
17130,8.0,aerobic,walking,"stair climbing, using or climbing up ladder (Taylor Code 030)"
17133,4.0,aerobic,walking,"stair climbing, slow pace"
17134,8.8,aerobic,walking,"stair climbing, fast pace"
17140,5.0,aerobic,walking,using crutches
17150,2.0,aerobic,walking,"walking, household"
17151,2.0,aerobic,walking,"walking, less than 2.0 mph, level, strolling, very slow"
17152,2.8,aerobic,walking,"walking, 2.0 mph, level, slow pace, firm surface"
17160,3.5,aerobic,walking,walking for pleasure (Taylor Code 010)
17161,2.5,aerobic,walking,"walking from house to car or bus, from car or bus to go places, from car or bus to and from the worksite"
17162,2.5,aerobic,walking,walking to neighbor’s house or family’s house for social reasons
17165,3.0,aerobic,walking,walking the dog
17170,3.0,aerobic,walking,"walking, 2.5 mph, level, firm surface"
17180,3.3,aerobic,walking,"walking, 2.5 mph, downhill"
17190,3.5,aerobic,walking,"walking, 2.8 to 3.2 mph, level, moderate pace, firm surface"
17200,4.3,aerobic,walking,"walking, 3.5 mph, level, brisk, firm surface, walking for exercise"
17210,5.3,aerobic,walking,"walking, 2.9 to 3.5 mph, uphill, 1 to 5% grade"
17211,8.0,aerobic,walking,"walking, 2.9 to 3.5 mph, uphill, 6% to 15% grade"
17220,5.0,aerobic,walking,"walking, 4.0 mph, level, firm surface, very brisk pace"
17230,7.0,aerobic,walking,"walking, 4.5 mph, level, firm surface, very, very brisk"
17231,8.3,aerobic,walking,"walking, 5.0 mph, level, firm surface"
17235,9.8,aerobic,walking,"walking, 5.0 mph, uphill, 3% grade"
17250,3.5,aerobic,walking,"walking, for pleasure, work break"
17260,4.8,aerobic,walking,"walking, grass track"
17262,4.5,aerobic,walking,"walking, normal pace, plowed field or sand "
17270,4.0,aerobic,walking,"walking, to work or class (Taylor Code 015)"
17280,2.5,aerobic,walking,"walking, to and from an outhouse"
17302,4.8,aerobic,walking,"walking, for exercise, 3.5 to 4 mph, with ski poles, Nordic walking, level, moderate pace "
17305,9.5,aerobic,walking,"walking, for exercise, 5.0 mph, with ski poles, Nordic walking, level, fast pace "
17310,6.8,aerobic,walking,"walking, for exercise, with ski poles, Nordic walking, uphill"
17320,6.0,aerobic,walking,"walking, backwards, 3.5 mph, level "
17325,8.0,aerobic,walking,"walking, backwards, 3.5 mph, uphill, 5% grade"
18010,2.5,endurance,water activities,"boating, power, driving"
18012,1.3,endurance,water activities,"boating, power, passenger, light "
18020,4.0,endurance,water activities,"canoeing, on camping trip (Taylor Code 270)"
18025,3.3,endurance,water activities,"canoeing, harvesting wild rice, knocking rice off the stalks"
18030,7.0,endurance,water activities,"canoeing, portaging"
18040,2.8,endurance,water activities,"canoeing, rowing, 2.0-3.9 mph, light effort"
18050,5.8,endurance,water activities,"canoeing, rowing, 4.0-5.9 mph, moderate effort"
18060,12.5,endurance,water activities,"canoeing, rowing, kayaking, competition, >6 mph, vigorous effort"
18070,3.5,endurance,water activities,"canoeing, rowing, for pleasure, general (Taylor Code 250)"
18080,12.0,endurance,water activities,"canoeing, rowing, in competition, or crew or sculling (Taylor Code 260)"
18090,3.0,endurance,water activities,"diving, springboard or platform"
18100,5.0,endurance,water activities,"kayaking, moderate effort"
18110,4.0,endurance,water activities,paddle boat
18120,3.0,endurance,water activities,"sailing, boat and board sailing, windsurfing, ice sailing, general (Taylor Code 235)"
18130,4.5,endurance,water activities,"sailing, in competition"
18140,3.3,endurance,water activities,"sailing, Sunfish/Laser/Hobby Cat, Keel boats, ocean sailing, yachting, leisure"
18150,6.0,endurance,water activities,"skiing, water or wakeboarding (Taylor Code 220)"
18160,7.0,endurance,water activities,"jet skiing, driving, in water"
18180,15.8,endurance,water activities,"skindiving, fast"
18190,11.8,endurance,water activities,"skindiving, moderate"
18200,7.0,endurance,water activities,"skindiving, scuba diving, general (Taylor Code 310)"
18210,5.0,endurance,water activities,snorkeling (Taylor Code 310)
18220,3.0,endurance,water activities,"surfing, body or board, general"
18222,5.0,endurance,water activities,"surfing, body or board, competitive"
18225,6.0,endurance,water activities,"paddle boarding, standing"
18230,9.8,endurance,water activities,"swimming laps, freestyle, fast, vigorous effort"
18240,5.8,endurance,water activities,"swimming laps, freestyle, front crawl, slow, light or moderate effort"
18250,9.5,endurance,water activities,"swimming, backstroke, general, training or competition"
18255,4.8,endurance,water activities,"swimming, backstroke, recreational"
18260,10.3,endurance,water activities,"swimming, breaststroke, general, training or competition"
18265,5.3,endurance,water activities,"swimming, breaststroke, recreational "
18270,13.8,endurance,water activities,"swimming, butterfly, general"
18280,10.0,endurance,water activities,"swimming, crawl, fast speed, ~75 yards/minute, vigorous effort"
18290,8.3,endurance,water activities,"swimming, crawl, medium speed, ~50 yards/minute, vigorous effort"
18300,6.0,endurance,water activities,"swimming, lake, ocean, river (Taylor Codes 280, 295)"
18310,6.0,endurance,water activities,"swimming, leisurely, not lap swimming, general"
18320,7.0,endurance,water activities,"swimming, sidestroke, general"
18330,8.0,endurance,water activities,"swimming, synchronized"
18340,9.8,endurance,water activities,"swimming, treading water, fast, vigorous effort"
18350,3.5,endurance,water activities,"swimming, treading water, moderate effort, general"
18352,2.3,endurance,water activities,"tubing, floating on a river, general"
18355,5.5,endurance,water activities,"water aerobics, water calisthenics"
18360,10.0,endurance,water activities,water polo
18365,3.0,endurance,water activities,water volleyball
18366,9.8,endurance,water activities,water jogging
18367,2.5,endurance,water activities,"water walking, light effort, slow pace"
18368,4.5,endurance,water activities,"water walking, moderate effort, moderate pace"
18369,6.8,endurance,water activities,"water walking, vigorous effort, brisk pace"
18370,5.0,endurance,water activities,"whitewater rafting, kayaking, or canoeing"
18380,5.0,endurance,water activities,"windsurfing, not pumping for speed"
18385,11.0,endurance,water activities,"windsurfing or kitesurfing, crossing trial"
18390,13.5,endurance,water activities,"windsurfing, competition, pumping for speed"
19005,7.5,endurance,winter activities,"dog sledding, mushing "
19006,2.5,endurance,winter activities,"dog sledding, passenger "
19010,6.0,endurance,winter activities,"moving ice house, set up/drill holes"
19011,2.0,endurance,winter activities,"ice fishing, sitting "
19018,14.0,endurance,winter activities,"skating, ice dancing"
19020,5.5,endurance,winter activities,"skating, ice, 9 mph or less"
19030,7.0,endurance,winter activities,"skating, ice, general (Taylor Code 360)"
19040,9.0,endurance,winter activities,"skating, ice, rapidly, more than 9 mph, not competitive"
19050,13.3,endurance,winter activities,"skating, speed, competitive"
19060,7.0,endurance,winter activities,"ski jumping, climb up carrying skis"
19075,7.0,endurance,winter activities,"skiing, general"
19080,6.8,endurance,winter activities,"skiing, cross country, 2.5 mph, slow or light effort, ski walking"
19090,9.0,endurance,winter activities,"skiing, cross country, 4.0-4.9 mph, moderate speed and effort, general"
19100,12.5,endurance,winter activities,"skiing, cross country, 5.0-7.9 mph, brisk speed, vigorous effort"
19110,15.0,endurance,winter activities,"skiing, cross country, >8.0 mph, elite skier, racing"
19130,15.5,endurance,winter activities,"skiing, cross country, hard snow, uphill, maximum, snow mountaineering"
19135,13.3,endurance,winter activities,"skiing, cross-country, skating "
19140,13.5,endurance,winter activities,"skiing, cross-country, biathlon, skating technique "
19150,4.3,endurance,winter activities,"skiing, downhill, alpine or snowboarding, light effort, active time only"
19160,5.3,endurance,winter activities,"skiing, downhill, alpine or snowboarding, moderate effort, general, active time only"
19170,8.0,endurance,winter activities,"skiing, downhill, vigorous effort, racing"
19175,12.5,endurance,winter activities,"skiing, roller, elite racers"
19180,7.0,endurance,winter activities,"sledding, tobogganing, bobsledding, luge (Taylor Code 370)"
19190,5.3,endurance,winter activities,"snow shoeing, moderate effort"
19192,10.0,endurance,winter activities,"snow shoeing, vigorous effort"
19200,3.5,endurance,winter activities,"snowmobiling, driving, moderate"
19202,2.0,endurance,winter activities,"snowmobiling, passenger"
19252,5.3,endurance,winter activities,"snow shoveling, by hand, moderate effort"
19254,7.5,endurance,winter activities,"snow shoveling, by hand, vigorous effort"
19260,2.5,endurance,winter activities,"snow blower, walking and pushing"